10000 200000
1 7393 3859
2 1198 4475
2 6252 357
1 440 5567
1 378 839
2 8972 3368
1 696 6741
1 4353 8706
2 1316 6984
2 8655 1006
2 7620 4963
1 3144 4534
1 2614 2821
1 7940 2204
1 9834 9266
1 617 3038
1 6732 2608
1 7481 6048
1 8688 7741
2 7473 4077
2 8035 9049
1 6288 875
2 4459 6168
1 2095 2558
1 8730 5243
2 5094 6116
2 3540 208
2 9792 2099
2 7141 9119
1 3149 7165
1 399 2152
1 9244 7093
2 2769 5122
2 1682 4575
1 8444 5779
1 4931 6939
2 1285 2755
1 1083 8662
1 2182 5926
1 2904 7754
2 4268 8992
2 2597 5704
1 7247 1297
1 3105 2147
2 6942 6798
2 7818 2311
1 1792 9496
2 3244 9120
1 9470 8881
1 1248 409
1 4023 6991
1 2343 162
2 6536 9267
2 4233 1481
1 235 1426
2 605 9681
1 5720 2762
2 5370 2994
2 8173 1185
2 1181 8125
1 6938 6547
1 8337 1422
2 3034 8661
2 6326 3671
1 7656 1226
2 7559 7771
1 6628 3794
2 7316 9990
1 9779 5584
1 2710 4922
2 2980 9131
1 369 6985
2 9421 4755
2 1675 5173
1 4566 149
2 1839 7306
2 5802 9730
1 9394 1262
2 9946 1430
1 3881 7150
2 3652 9442
2 7789 2928
2 5983 3560
1 2094 5395
2 9761 5749
1 9436 9277
1 9730 9899
1 2891 487
1 9822 641
1 2995 7361
1 6175 101
1 1249 9043
2 5483 9088
2 4933 1780
1 1101 3555
2 7465 3781
2 7661 312
1 8108 5122
2 3262 4789
2 356 1848
2 5040 1175
2 4214 4016
2 3120 7252
1 2519 1883
2 7470 5242
1 7755 4053
1 5097 7924
1 5716 5306
2 7443 9495
1 7737 7968
2 2297 6269
2 5108 2105
2 6001 7245
2 281 1930
2 665 8194
2 9024 1222
2 695 828
2 7495 4397
1 2440 3593
1 2114 4930
1 7821 4491
2 1712 7929
1 8509 3165
1 9164 4891
1 4915 2890
1 188 7921
2 4135 4157
1 8358 7527
1 2896 2720
2 6693 4167
2 568 8029
1 669 1842
1 5206 4062
1 2323 9925
2 9729 7523
1 278 326
1 7966 7566
2 16 7817
2 1613 1682
2 3698 7330
1 3241 408
1 6447 1238
1 9721 7696
1 9822 9936
1 4972 6009
2 8705 2394
2 6125 3831
2 9265 3937
2 3651 5694
1 2133 4868
1 8916 5717
2 9713 3312
2 3814 1666
2 7180 6859
1 1665 7598
1 1314 941
1 8350 9398
2 1801 214
2 681 5758
1 7279 5142
1 9389 4954
1 2695 6223
2 5543 541
1 3500 6378
2 2714 8959
2 8083 3882
2 6215 3362
2 5856 3125
1 9861 1004
2 7660 7150
1 6177 4668
1 5741 8108
2 8145 5895
1 7179 6477
2 1531 7081
1 5933 7468
2 8888 2435
1 8201 9499
2 1667 8191
1 4337 5075
2 7363 2562
1 6093 4066
1 2788 5146
1 4745 7177
1 7568 2604
2 2440 3604
2 2391 5128
2 3258 1792
1 9546 882
2 5123 8624
2 8968 8966
1 9437 6537
1 3397 1341
1 7628 4545
1 7019 1342
1 5181 3485
1 2762 8640
1 2249 2221
2 3268 7204
1 6396 5625
1 6757 144
1 5378 8854
2 6543 9080
1 2519 4625
2 5017 3390
2 9166 7510
1 835 9733
2 328 1882
2 351 172
2 398 106
2 1614 1532
2 1402 7410
1 6316 5393
1 8990 3943
2 5755 2775
2 9805 797
2 3647 9730
1 3756 2206
2 2198 6129
1 2868 3825
1 2156 6214
1 7362 7507
2 8618 7961
1 4222 80
2 8116 5485
2 6621 9373
2 5480 7212
2 5219 7317
2 2357 1396
1 4168 1599
1 5913 6330
2 6541 3723
1 1140 6356
2 9757 2311
1 8648 5014
1 7365 1026
2 6906 5268
1 9503 7441
1 2277 7872
1 9831 4238
2 7931 1286
2 5382 7887
2 2594 7422
1 7576 5649
1 9411 890
1 6190 254
1 4823 9271
2 6488 5640
2 6592 9618
1 3657 8263
2 4791 5094
1 7968 451
2 249 8079
2 6682 6876
2 3134 5629
2 3916 8874
2 7696 7135
2 3351 4967
1 4641 1272
1 731 1041
1 6913 5767
2 1492 9932
1 3350 6567
2 8895 9469
2 8296 4146
1 474 5467
2 9066 3259
1 2414 1946
1 7145 7031
2 6625 8434
2 8133 3342
2 1225 9907
2 3872 8634
1 7522 9594
1 5255 2613
2 6842 9812
2 2116 8759
2 29 7592
2 149 4200
2 6775 1583
2 3980 2298
1 7285 9515
2 8548 6203
2 6609 9747
1 4629 824
2 4625 8810
1 2275 5436
1 1880 995
1 3554 4142
1 8196 3629
2 1078 2347
2 60 8882
2 7265 6273
2 1332 2134
1 6256 1020
1 3195 9556
1 8089 4952
2 7927 8829
2 2563 8687
1 4033 6050
2 6718 226
2 2504 7195
2 1851 4600
2 2499 3377
1 4603 6315
1 2134 4721
1 6027 2694
1 1486 9832
2 3960 144
2 7420 1045
1 4985 8874
2 4494 473
1 8847 2348
2 8106 2293
1 6121 972
2 4771 2142
1 8683 6536
2 775 5534
2 3065 1904
2 6267 3975
2 2162 6021
1 1664 1400
1 2697 1103
1 8299 5078
1 8034 8896
2 3875 1506
1 3771 9699
2 5952 2146
1 1506 3584
2 5469 5076
2 7675 9693
2 9540 1879
2 7328 9915
2 5495 8844
2 3463 9707
1 5673 4649
2 6346 4095
1 8679 5251
2 9563 395
2 9584 2263
2 65 8770
1 8222 743
2 1409 571
1 1596 8849
1 8994 8116
2 3456 7281
2 8189 9769
1 5578 1703
2 1947 8284
1 9041 3638
1 2382 7996
2 1944 1628
2 500 2355
2 69 6392
2 1635 100
1 9512 5032
1 4296 8633
1 8247 3770
2 4487 7494
2 1557 9970
1 5758 9281
1 3597 6355
2 8538 4373
1 9455 229
1 3120 1844
2 1513 2111
1 7844 8552
1 9333 5282
2 4670 6008
2 6973 7220
2 7512 9270
1 1619 8483
1 9020 7935
2 4830 1499
1 6605 2650
1 8028 6745
1 1895 5054
1 3899 3725
1 6112 8756
2 8857 2182
2 9116 8906
2 7088 1770
2 9238 8606
2 900 6086
1 6863 923
1 6065 2925
1 9386 3213
1 904 5734
2 3549 2801
1 6700 8388
1 425 9233
1 7 9756
2 4738 9315
1 6740 2764
2 4934 4658
1 2165 2691
1 2034 9084
1 2655 9531
2 7524 2916
2 8274 7137
1 4635 7181
1 7487 1518
1 1896 2652
1 1497 6639
2 5851 9122
2 2464 164
2 344 5772
2 4637 2493
2 5868 5248
2 3111 3247
2 6888 9367
1 2668 2470
2 837 1925
2 9868 3767
1 7833 1184
2 2121 2902
2 3393 5977
2 6433 9602
1 2157 9009
2 3635 2259
1 698 6667
2 5910 5116
2 4411 8632
1 4736 9588
2 1672 5253
2 7857 5409
1 2631 107
2 6157 8591
1 1675 7382
2 6240 7411
1 6221 3712
1 7279 6753
2 5836 8677
2 5342 6167
1 8149 2574
2 2262 4734
1 3276 1911
2 3916 269
1 2031 9391
2 3245 6106
2 5820 1719
1 319 8855
1 771 2042
2 908 5785
2 2520 1017
2 8889 9258
2 4800 6708
1 346 8242
2 8536 4371
2 2001 7526
2 6984 5087
1 5657 7284
1 4050 7954
1 3235 2755
2 7549 2164
2 7336 4473
2 6945 4652
2 6351 3757
1 6454 8771
1 3489 874
2 6474 638
1 2632 9357
1 4280 3245
2 496 8224
1 4464 3659
1 9473 6671
2 8296 6492
1 5821 5728
1 6801 9197
1 8956 5131
1 9532 5432
2 9119 6819
1 7527 943
2 3779 7857
1 7464 7747
1 9168 6018
1 7444 5680
2 9307 1639
1 5909 9735
2 7461 1890
2 2926 9556
2 7554 58
2 6760 2206
1 5070 4995
2 7499 814
2 2293 3924
2 7019 1735
2 9618 6446
2 8813 6629
1 5741 5166
2 8487 3129
1 1545 5301
1 6898 3677
2 6528 5445
1 7464 9744
2 4645 1175
1 9060 6308
2 4837 6363
1 2714 5109
2 1350 1970
2 2796 8081
1 4752 9852
2 6411 2660
1 8337 2237
2 1217 5418
1 39 6894
2 8689 6916
1 9800 1259
2 7899 3219
2 8736 1935
1 7226 6147
2 5372 5920
1 4093 5280
2 287 8523
1 4045 6824
1 3938 697
1 3495 3404
2 2596 9015
1 9366 8655
1 6207 8596
1 9906 2093
1 2079 3651
1 1615 8074
2 478 2604
2 3210 476
2 1737 3182
2 7063 3537
2 8817 802
1 3564 4496
2 5688 216
1 2098 8475
1 6401 5044
1 6731 797
2 6671 2787
2 4394 7307
2 7290 1536
1 7760 5705
1 5524 5676
1 4099 5148
2 3133 6652
2 2334 1142
1 3065 5654
2 3930 8793
2 7144 3398
2 4459 9320
1 1493 6367
2 15 9175
1 4440 8088
2 1799 9893
1 264 3480
2 6674 1631
2 3535 2266
2 2584 9843
1 3817 2126
1 392 9542
2 6405 6092
1 6687 169
1 4988 8237
2 5265 1243
1 9821 6696
2 1877 9370
1 8209 3142
2 4889 1047
1 2649 1949
2 5792 2573
1 2702 9524
1 4306 7215
2 1333 9362
2 8673 7839
2 602 9602
2 4871 7254
2 586 6905
2 5952 5842
2 6179 5946
2 7029 2666
1 3578 7008
2 6881 5039
2 8231 6480
2 9519 2343
2 8939 5272
1 6054 377
2 5910 3456
1 2707 2925
2 8384 441
1 4121 9370
1 4698 3532
2 4520 6995
2 5834 1029
2 284 6088
2 11 4149
2 5315 3163
1 2878 4219
2 7596 1632
2 5275 3390
1 247 9979
2 3217 5621
1 7015 6642
2 5086 4857
1 3573 4047
1 8857 8057
1 1704 6019
1 614 3555
2 8632 5980
2 6166 585
2 6215 1171
1 1609 1573
2 4573 751
2 2859 7864
1 752 4223
1 9956 449
2 3237 5351
1 6083 8057
2 480 8790
1 5448 3639
2 2779 1068
2 1281 1329
2 7794 6784
2 8614 2761
1 3003 1953
1 7691 617
1 3101 1655
2 3973 2967
2 3084 4076
1 3154 8914
2 5525 7028
2 8339 6345
1 9663 81
2 3392 7214
2 9358 9465
2 6591 2112
1 7420 8183
1 8833 9282
1 572 7721
1 4289 948
2 100 4172
1 6744 497
2 2267 1107
1 57 549
1 5442 9883
1 6244 7675
2 8068 9163
1 1104 9446
1 7744 634
1 3258 9371
2 3806 4750
2 1854 4019
2 9111 7289
1 5821 5303
1 7195 3258
2 5683 5552
1 8865 314
1 5691 2832
2 9977 3188
1 9934 728
1 9265 8989
2 3895 4066
1 651 5686
1 2174 1868
2 484 8488
1 9359 5788
1 8429 9756
1 433 7069
1 4303 2544
1 2524 5562
2 4438 8231
2 8557 1255
2 2706 7418
2 2094 8170
2 2626 9055
2 8231 126
1 4524 1419
1 478 1120
1 5064 6140
2 1135 5346
1 9960 8683
2 4989 4427
2 1131 3631
1 1022 1012
2 4219 6349
1 7321 3313
1 6251 8245
2 457 4595
1 4904 2446
1 5352 604
1 6545 9238
1 882 7221
2 8063 1662
2 9767 2915
2 9595 758
2 9825 1697
2 9860 5484
1 2200 8215
2 5539 563
2 5711 340
2 1339 1092
2 3519 5658
1 2055 3817
2 2472 6526
2 4173 8166
2 3777 6991
2 1325 3476
2 366 7606
1 3347 4354
1 4796 6564
2 8758 5857
2 1705 560
2 3792 3184
2 8721 1112
1 1776 9791
1 4570 481
2 5033 4706
1 708 6207
1 9509 5906
1 6408 841
1 3210 517
1 3013 1750
1 7674 7123
1 6556 8079
2 3039 3225
1 9352 1593
1 9823 539
2 8783 4542
2 8732 7239
1 3368 796
1 6388 348
1 2878 1626
1 2124 7457
1 5682 3140
1 7604 69
1 338 8555
2 4075 2685
2 1781 4717
2 2300 1275
1 1829 4023
1 9022 2417
2 9039 4273
1 3776 2338
2 2621 3339
2 5427 7645
1 4140 2711
1 1538 487
1 6764 3910
1 1074 3127
2 6351 3429
1 4100 8251
2 5539 2544
2 1254 7276
1 6394 4551
1 4832 9131
1 4488 1256
1 5035 3110
1 1740 8632
1 7606 7972
2 1485 4670
2 7088 7888
2 5541 5117
1 9147 663
1 5227 1813
2 688 3428
1 1011 1758
1 7995 8250
2 5830 1563
1 211 7398
1 7745 944
2 2231 8686
2 1366 6018
1 3889 2493
2 7814 4706
2 1950 9033
1 4874 3062
1 3782 1882
1 546 2268
1 5362 9085
2 3669 918
1 116 1829
2 6399 1030
2 7000 7348
1 35 8519
2 5912 9347
1 7674 2202
2 6050 6144
2 2373 397
2 4572 8932
2 3905 5066
1 7733 1282
1 6120 3700
2 839 988
2 5306 1789
1 6200 2984
2 847 8327
1 2527 8304
1 338 7461
2 3209 1325
1 896 8667
2 345 7640
1 8463 290
2 9840 3790
2 9763 4997
1 1414 2489
1 9784 6847
2 4607 4195
1 2668 3281
2 4397 290
1 4910 7991
1 7592 3407
2 439 3003
1 1235 5006
1 9790 1235
2 9794 3789
2 5024 9640
2 4828 7073
2 8506 9781
1 4562 3576
2 2495 5085
2 4924 4420
2 3706 4239
1 8742 8974
1 2567 5540
2 6501 2588
2 4873 9354
1 1915 2758
1 3699 4948
2 3211 3400
1 3825 5652
2 5063 7754
1 149 5818
1 5562 1359
2 3636 6718
1 3838 8233
1 1402 4056
1 3786 5732
1 5970 5796
1 7827 2733
1 8982 6938
2 6725 6965
1 1914 4335
2 764 2345
2 4571 775
2 6679 5242
2 1059 9619
2 5625 7036
1 2428 2235
2 504 303
2 6161 405
1 1351 4793
1 3083 1221
1 6101 3725
2 6918 5459
2 4331 6177
1 4320 8265
1 2945 668
2 6425 8712
1 2103 5388
2 504 2960
1 660 4839
1 1776 3304
2 6749 3106
1 2970 5741
1 9375 7701
1 5706 7340
1 1856 2069
2 1138 5440
2 2093 8895
2 8399 4820
1 4225 6476
2 9934 2596
2 8455 2247
2 2358 5470
2 7930 7963
2 8354 438
1 5004 9635
1 4641 6603
1 4116 6597
1 3031 17
1 859 3561
2 2429 1129
2 261 2083
1 5583 5942
2 7930 6622
1 8572 111
2 1818 1010
1 8894 4728
2 9626 5376
2 401 595
1 7098 8448
2 5013 2955
2 8827 8970
2 3102 7744
2 7748 4533
2 8886 8244
1 5882 102
2 8625 5331
1 3274 3391
1 2492 3669
1 6011 8425
1 7185 2751
2 6507 5046
1 1392 2673
1 4397 8569
2 4204 2205
1 1652 9863
1 8612 4036
2 2799 1992
2 4311 6434
1 4126 9189
1 6190 3416
2 353 1337
2 5086 1924
2 9792 9575
2 960 8703
1 2113 7269
1 6217 4542
1 2806 5495
2 7090 363
2 7701 7283
2 5529 8541
1 3008 6462
1 2249 2875
1 444 4499
2 69 8399
1 9108 8966
1 8546 5514
1 3021 5467
2 387 5304
2 746 8994
1 9492 3976
1 1090 6193
2 4645 9802
2 6415 6345
2 7624 5166
2 921 6740
1 3189 7021
2 3785 8552
2 8415 1031
2 1774 3565
2 8093 9687
1 3644 2792
1 4130 9705
2 7472 8596
2 4828 5930
2 4671 3637
1 8157 2205
1 6544 2661
1 2018 3498
1 4009 2956
2 182 565
1 8142 3115
1 481 6503
2 2973 225
2 461 8269
1 524 2657
1 616 8056
2 847 778
2 3425 4072
1 414 8148
1 1989 7074
2 4554 6933
2 8186 9242
2 7579 4628
2 6826 9667
1 2173 9290
1 9480 5569
2 5476 9127
2 1259 4804
2 6108 1248
2 4810 9054
2 3236 9640
1 6695 1210
1 5266 3618
1 9223 6870
2 3353 3168
2 4730 3736
2 8996 2199
1 9232 3610
1 9216 1835
1 1714 1643
1 9568 4510
2 2352 2302
1 5591 3408
2 6035 8339
1 5997 545
2 5437 9595
1 2440 9430
2 7945 2496
2 4010 8319
2 1233 9013
1 8020 7451
2 1227 7756
2 274 8332
1 2109 7395
2 9589 5770
1 9461 5964
2 228 5242
1 1402 4656
1 2010 3845
1 9388 5066
1 3724 2766
2 2379 3832
1 9814 2176
2 1628 9875
2 7004 5421
2 3165 883
1 3804 7348
2 8881 2307
1 7645 4829
1 1156 6791
1 3554 318
1 9945 6593
2 4407 747
2 4169 8381
1 4 6481
2 9977 344
1 7389 9743
1 7515 9016
1 8693 9641
1 8524 101
1 5367 7183
1 8752 8148
1 2600 745
2 133 8327
2 7901 2724
2 469 1309
2 7060 1260
1 9847 2174
1 5656 372
2 3249 7448
1 7173 2199
1 2916 5931
1 464 4028
1 287 7793
2 111 122
1 10 7762
2 7128 5573
2 3972 719
2 5518 9095
1 4315 623
1 9485 4105
1 3243 8240
2 3183 1407
1 4783 3870
1 1469 7534
2 7302 2979
1 4259 4087
2 8699 5345
2 3707 2776
1 3456 6968
1 2928 9174
2 5288 6522
2 714 1790
2 4359 3853
2 5458 7190
1 5884 2395
2 7909 5128
2 3267 6129
2 3580 3594
1 5678 99
1 9369 2627
1 1799 9883
2 626 7399
1 4177 4673
1 4845 1018
1 9748 5597
1 4256 1091
1 4100 5093
1 2421 8451
2 1293 2866
1 8285 6425
1 9021 362
1 8426 6757
2 8352 6521
2 6420 492
2 4007 6467
2 530 7605
1 3555 6994
1 6258 1630
1 3911 1911
2 6318 9712
2 7099 6282
2 2056 3547
2 8569 3415
2 6976 7842
1 8714 3469
1 126 4721
1 5669 9390
1 255 6960
2 5225 944
1 1861 3346
1 6769 6553
2 3892 9078
1 2768 6389
1 4951 8090
2 6041 9465
2 5767 5263
1 5840 6454
2 2563 5398
2 5502 7368
1 8341 6106
1 9418 7476
2 932 1483
2 1181 7673
2 5135 5924
2 4595 7273
1 678 3455
1 1011 7185
2 2961 8143
1 8097 2420
1 1332 3986
2 3239 1306
2 6123 5210
1 6439 2563
1 8525 7591
1 2208 1159
1 7932 8347
1 2967 4278
2 1903 3691
2 2213 2957
1 8238 5581
2 3348 9493
2 6461 9082
1 106 817
2 8245 5416
2 8996 1217
1 4176 5594
2 9866 3298
2 9076 4574
1 3903 8334
1 4426 2746
2 638 5530
1 7906 7263
1 2194 7045
1 2136 8413
2 6994 7013
2 6205 7864
2 9783 570
2 5383 875
1 3254 2104
2 9326 6403
2 9047 8771
1 2905 3967
1 4180 8313
1 1772 2552
1 3525 772
2 9623 1589
1 7711 5513
2 9007 1038
1 7878 405
1 919 6849
1 6059 2865
1 4219 3335
2 6202 1762
2 5680 811
2 8051 5299
1 6497 1465
1 6611 2570
2 2782 3738
1 1431 9435
2 1757 8238
1 9057 6430
1 1176 4886
1 5903 5666
2 9041 134
2 6702 436
2 9848 9116
2 2593 6122
1 9765 5585
1 3630 5993
1 6317 9333
1 3493 5910
2 4369 7579
2 3349 123
2 7449 7520
2 4841 1457
1 1056 4365
1 7021 9492
1 501 2964
1 8726 9412
2 3710 8954
2 9911 230
2 1447 4781
2 9183 8936
1 5625 3516
1 4447 9669
2 4801 7386
1 5599 6515
1 1791 2786
1 6069 9646
1 2059 5829
1 2311 9247
2 9794 9166
1 9814 2643
2 5345 9646
2 1906 7004
1 1481 5558
1 976 3712
1 3363 5460
2 9175 5567
1 7153 8836
1 1481 2254
1 6515 4052
2 7800 2076
1 3053 568
1 306 768
2 564 1689
1 8159 5620
1 2153 1350
1 1389 3297
1 1089 6980
2 4303 8814
2 1633 3258
1 4547 3683
2 3053 1640
1 350 3330
2 9379 3401
2 6494 1465
2 1250 6322
1 2738 5477
2 4841 3684
1 1819 3864
2 9336 1777
1 4774 2712
2 4379 3839
2 1802 6240
1 3144 509
1 9445 5070
2 4892 792
1 1211 3563
2 6738 3944
1 7232 8210
2 9050 8912
2 1018 2119
1 1449 5705
2 7869 3591
2 9583 1887
1 4685 1571
1 2854 9983
1 3081 2696
2 1697 8879
1 5616 5448
2 1083 5726
2 5511 6774
1 1220 481
1 6253 6669
1 6787 2698
1 8400 8924
2 5392 6763
1 7679 1889
1 6157 8633
1 5868 5693
2 5560 1230
1 2330 7369
2 9973 3550
1 1736 3798
2 3955 9826
1 9292 5686
2 2500 6316
2 6865 5549
2 8849 9218
1 2253 8545
1 3335 446
1 6976 4148
1 5756 3430
2 309 8460
2 4477 2946
1 7784 3758
1 5137 2733
1 8044 1107
2 519 4167
1 8000 587
2 1444 7023
2 4093 5732
2 8359 5909
2 6284 3991
1 6051 1919
2 6014 6767
2 5100 8090
1 3199 7377
1 7795 6396
1 2088 3513
2 6915 7769
1 1528 7605
2 5967 3187
1 7814 9941
1 352 4193
2 3982 9231
1 362 6686
2 8195 4664
2 3525 4812
1 268 2201
1 8666 3672
2 4638 1622
2 7480 2282
2 5323 8726
2 3099 9773
1 3185 3874
2 4316 7511
2 2070 711
1 6947 7199
1 4319 3756
1 2209 1415
2 7448 1341
2 1300 4276
2 5 9244
1 877 9674
2 315 7323
2 870 8185
2 2232 2832
2 8417 8503
2 2966 4665
2 1389 221
1 3507 6959
2 5987 9146
2 6280 9592
1 8322 8743
2 6100 5741
2 1434 8885
2 5085 5123
1 352 2876
2 546 4567
2 4591 9020
1 1993 9416
1 9852 8575
2 9236 3650
2 1034 1713
1 4333 8133
2 8022 5875
2 1383 9836
1 6231 9518
2 3802 3588
2 8906 6588
2 9262 5737
2 3516 7683
2 9080 4338
1 6110 7807
1 6447 6431
2 762 2343
1 2094 3489
1 1666 8927
2 3420 3608
1 2508 9829
2 8032 4015
2 4786 1996
1 7851 6845
2 2940 1484
1 2750 5814
1 4269 5957
1 3105 1372
1 491 3553
1 7731 1626
1 1745 2699
2 1635 9714
2 6164 3622
2 3638 6499
2 2051 8646
1 3198 265
1 7252 3698
1 40 936
1 9251 3509
2 2853 529
2 5735 6316
2 9904 4050
2 8283 4533
1 2876 8969
2 4437 5902
1 6948 2760
1 8834 5897
1 8588 7684
1 2329 8669
2 1348 1730
1 6017 6627
2 8495 4800
1 9332 5414
1 3537 553
1 6421 5238
1 585 9385
1 2574 343
1 3665 117
1 5626 7986
2 2803 1512
1 3366 4804
1 757 9963
2 2433 1156
1 4449 5425
2 4618 3274
1 224 7297
1 8049 5588
2 3157 4905
1 9609 2967
2 3227 5958
1 9256 8094
2 280 7586
2 404 5016
2 4343 6956
1 7216 962
2 9180 4464
1 4251 3532
1 7276 94
2 5616 2953
2 9801 7614
2 706 8115
1 3758 8241
2 168 6891
1 4357 193
1 6375 9033
1 2047 5231
1 9731 1946
2 9178 4529
1 937 3588
1 6480 3709
1 5052 6013
2 1411 1262
2 1588 4261
1 6449 8004
2 8348 7507
1 4984 1649
1 4555 6976
1 5354 5318
1 7118 6248
1 5778 9413
2 5241 8338
1 6676 8882
2 6990 4066
1 3617 5287
1 121 2851
2 7439 949
1 8732 5339
2 1993 7142
1 3488 1744
1 8892 4578
1 1323 2693
2 8642 1837
2 1857 8355
2 1391 9802
1 1554 3760
2 3294 7263
2 6115 4492
2 7755 7205
1 8832 9441
2 3084 9291
1 2413 2583
1 3564 4328
2 4229 963
1 5798 4514
1 5701 5473
1 2113 4451
1 4679 4770
2 269 2053
1 5695 622
2 8331 631
2 1687 7386
2 1077 8386
1 1898 6413
1 8771 7845
2 5528 5089
1 4304 47
1 5232 5226
1 5558 7988
1 511 2581
2 846 4247
1 1840 365
1 4407 993
2 183 189
2 3279 1920
1 4643 684
2 19 6094
1 4222 4931
2 3327 4053
1 5631 339
2 9380 3629
1 8612 2935
1 3467 4648
2 2374 1806
2 9254 39
1 7088 3670
2 945 6793
1 6458 4528
2 5402 3033
2 4603 9026
2 2546 5416
1 7549 8333
2 8596 4971
1 8245 4548
2 9580 477
1 981 5247
1 3323 307
1 8844 8687
2 5178 3746
1 10000 7923
1 7478 204
1 6761 3642
1 9293 1973
2 3194 7374
1 6070 4631
1 4010 5610
2 6082 9929
2 3119 6833
2 2520 2141
1 231 48
2 5089 2282
2 8645 6478
1 9723 3624
2 6587 5894
1 4296 3686
1 7401 2282
2 152 7283
2 3678 1026
1 1752 233
1 5633 2168
2 3515 2985
1 1567 527
1 4945 3110
2 2023 8734
2 8694 9039
2 1994 2249
2 5415 9063
1 1687 5059
2 4325 9441
1 6503 8140
2 6391 8309
2 8787 5707
1 4522 1842
2 2043 5234
1 8966 2986
1 8462 5427
2 8240 3003
1 9247 7854
1 5494 6560
2 7530 7886
1 649 3317
2 4498 2480
1 538 8443
1 3799 2350
2 7425 2539
1 9705 6577
1 1602 1181
1 3543 8451
2 4412 4135
1 4400 5780
1 22 371
2 8278 7859
2 1420 1527
1 6560 214
2 5459 3493
1 7481 8856
2 4841 3406
2 4661 5141
1 5411 7919
1 7094 5883
1 2547 4298
2 688 6915
1 7217 8644
2 7759 5147
2 4847 1576
1 1746 5884
1 5042 4726
2 6674 8474
2 4800 9396
1 41 7329
1 6967 3626
1 8757 8541
2 3587 7976
1 6820 296
2 186 5218
2 7042 4566
2 3097 5083
2 7827 4412
1 2588 3271
2 6187 5363
2 6918 8046
1 1498 9483
2 3677 2496
2 1558 2271
1 5177 6059
1 4205 4895
1 6183 8779
2 4961 366
2 8441 8503
1 606 4098
1 2709 7355
1 7247 3825
2 9225 5018
1 8441 9238
1 6703 7700
2 4113 1165
1 3034 8378
2 8981 5194
2 2720 3448
1 1105 7198
2 6479 4637
1 3030 2743
2 608 9780
2 6872 4732
2 7767 8599
1 4062 4997
2 2125 6740
2 8955 429
1 4910 5926
2 7031 3067
1 4322 3755
2 9899 7787
1 2104 8627
1 3231 4322
1 503 8234
2 9657 4806
2 6496 1351
1 3520 4789
1 733 4669
1 7903 9106
1 662 3547
1 6662 4573
1 7097 8773
1 7084 4431
1 5454 9076
2 3461 3928
2 2452 7324
2 4850 9508
2 4919 4846
1 529 4122
2 4651 7065
2 6886 8074
2 7162 7258
2 6179 1675
2 3316 3432
2 1664 5494
2 3678 2432
2 6107 459
2 5285 4785
1 3778 1829
2 8212 5769
1 3055 7223
1 6447 8397
1 9564 882
1 5332 8956
1 304 3316
1 7952 8427
1 5701 3022
2 9961 1296
2 7294 4516
1 7358 4243
2 3159 1550
1 9916 5579
2 5029 2527
1 7352 7718
2 9736 5419
1 6061 6050
2 9392 7282
1 4837 9407
2 9643 8784
2 7020 839
1 7117 7169
1 686 3657
2 5890 1441
2 1601 8547
1 3125 1615
2 2584 7608
1 5340 7565
1 4753 2965
1 1032 6572
2 8527 4581
1 9702 6756
1 2137 9412
1 8546 462
